procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  4      0 52704176 260128 6545312    0    0     0     0 4477 5584  2  1 68 29  0  0
 1  4      0 52740080 260128 6545312    0    0     0    36 5324 6526  3  1 59 37  0  0
 1  2      0 52940960 260128 6545424    0    0     0     0 5737 7249  4  1 75 21  0  0
 1  2      0 52941104 260128 6545424    0    0     0    84 5429 7122  3  1 77 20  0  0
 1  2      0 52941104 260128 6545440    0    0     0     0 5558 6979  3  1 77 20  0  0
 1  2      0 52941104 260128 6545440    0    0     0     0 4563 5598  2  1 78 20  0  0
 1  2      0 52941104 260128 6545440    0    0     0    44 4050 4931  2  1 78 20  0  0
 0  4      0 52703744 260128 6545472    0    0     0     0 9560 13183  5  2 64 30  0  0
 1  4      0 52703744 260128 6545472    0    0     0    24 5426 6942  2  1 65 31  0  0
 1  4      0 52703744 260128 6545488    0    0     0     0 5035 6060  3  1 67 29  0  0
 0  4      0 52699904 260128 6545488    0    0     0     0 4480 5632  2  1 68 29  0  0
 1  4      0 52702112 260128 6545504    0    0     0    48 5413 6776  3  1 67 29  0  0
 2  2      0 52893120 260128 6545504    0    0     0     0 4934 6200  2  1 75 23  0  0
 1  2      0 52893120 260128 6545520    0    0     0   634 4574 5607  2  1 78 19  0  0
 1  2      0 52893120 260128 6545520    0    0     0     6 4162 5030  2  1 78 20  0  0
 1  2      0 52893360 260128 6545536    0    0     0     0 4368 5464  2  1 78 20  0  0
 1  2      0 52893360 260128 6545568    0    0     0     0 5849 7302  3  1 77 19  0  0
 1  4      0 52679280 260128 6545584    0    0     0     6 7348 9522  4  1 65 30  0  0
 1  4      0 52679040 260128 6545600    0    0     0     0 7398 9514  3  1 58 38  0  0
 1  4      0 52686000 260128 6545600    0    0     0   614 4633 5677  2  1 59 38  0  0
 1  4      0 52677040 260128 6545600    0    0     0    20 4407 5378  2  1 59 38  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 52711328 260128 6545616    0    0     0     0 4582 5625  2  1 59 38  0  0
 1  2      0 52980896 260128 6545648    0    0     0     0 4973 6331  2  1 63 34  0  0
 1  2      0 52981440 260128 6545696    0    0     0    14 4906 5882  3  1 78 18  0  0
 2  2      0 52981440 260128 6545696    0    0     0    18 5846 7259  3  1 78 19  0  0
 1  2      0 52981440 260128 6545712    0    0     0     0 6877 8698  3  1 77 19  0  0
 1  2      0 52982160 260128 6545712    0    0     0    18 5868 7545  3  1 78 18  0  0
 1  5      0 52682560 260128 6545760    0    0     0    30 10313 14299  5  2 72 21  0  0
 1  4      0 52729088 260128 6545824    0    0     0     0 8071 10188  3  1 66 29  0  0
 1  4      0 52730656 260128 6545840    0    0     0    22 6056 7581  3  1 67 29  0  0
 1  4      0 52729456 260128 6545856    0    0     0     0 5970 7494  3  1 67 29  0  0
 8  4      0 52723680 260128 6545872    0    0     0     0 4963 6160  3  1 68 28  0  0
 2  4      0 52660896 260128 6545872    0    0     0    10 6829 9299  4  1 66 29  0  0
